# AI0: U_in (V)	# AI1: U_out (V)	
-0.00267446	-7.45175
-0.00364786	-7.46311
-0.00559464	-7.47543
-0.00981268	-7.48712
-0.0140307	-7.49782
-0.0231157	-7.5108
-0.0331741	-7.52151
-0.0438814	-7.52962
-0.0331741	-7.52216
-0.0221423	-7.51048
-0.0153286	-7.50042
-0.00883929	-7.48517
-0.00494571	-7.47057
-0.00170107	-7.43715
0.00057018	8.42142
0.0112775	8.42239
0.0229582	8.42239
0.0336655	8.42207
0.0437239	8.42109
0.0580004	8.42045
0.075197	8.42012
0.0907713	8.4198
0.101479	8.4198
0.0897979	8.4198
0.075197	8.42012
0.0618939	8.42142
0.0463197	8.42207
0.0313943	8.42109
0.00803286	8.42207
-0.00883929	-7.48387
-0.0159775	-7.50107
-0.0318763	-7.52021
-0.0468016	-7.53157
-0.0760034	-7.5452
-0.105205	-7.55655
-0.125971	-7.56239
-0.138625	-7.56499
-0.128242	-7.56304
-0.116237	-7.55915
-0.102934	-7.55558
-0.0876841	-7.55071
-0.0756789	-7.54649
-0.061727	-7.54
-0.0497218	-7.53351
-0.0357698	-7.5241
-0.0218179	-7.50983
-0.00981268	-7.48744
-0.00429678	-7.46765
-0.000403213	-7.40405
0.00251697	8.42272
0.0125754	8.42174
0.0239316	8.42142
0.0352879	8.42077
0.0495643	8.42077
0.0628673	8.42077
0.0732502	8.42045
0.083633	8.42045
0.0729257	8.42045
0.0618939	8.42077
0.0485909	8.42012
0.0385325	8.42077
0.0239316	8.42077
0.00900625	8.42109
-0.00916375	-7.48517
-0.015653	-7.49912
-0.024738	-7.5134
-0.0347964	-7.52151
-0.0468016	-7.53124
-0.0575089	-7.53773
-0.0685407	-7.54292
-0.0558866	-7.53708
-0.0432325	-7.52962
-0.0328496	-7.52183
-0.0231157	-7.51145
-0.015653	-7.50042
-0.00754143	-7.48095
-0.00429678	-7.46635
-0.00235	-7.44948
0.00057018	-3.61267
0.00186804	8.42142
0.0122509	8.42304
0.0236071	8.42272
0.0378836	8.42207
0.066112	8.42174
0.0829841	8.42077
0.0949893	8.42174
0.110239	8.42142
0.121595	8.42077
0.110888	8.42077
0.10083	8.42077
0.0885	8.42109
0.0761704	8.42077
0.0628673	8.42142
0.0524845	8.42174
0.0284741	8.42142
-0.00656804	-7.47673
-0.0393389	-7.5254
-0.05686	-7.53708
